times,flux
120.5590984,1.000585227
120.5795327,1.000170054
120.5999672,0.999962526
120.6204016,0.999713475
120.6408359,1.000011007
120.6612703,1.000327759
120.6817048,1.000441938
120.7021391,1.000250137
120.7225735,1.000140362
120.743008,0.999959827
120.7634423,1.000073917
120.7838767,1.00020588
120.8043111,1.000166054
120.8247455,0.999975201
120.8451798,1.000096948
120.8656142,1.00020775
120.8860487,1.000003381
120.906483,0.999753359
120.9269174,0.999792798
120.9473519,0.999780488
120.9882206,1.000110836
121.0086549,1.000086461
121.0290894,1.000022835
121.0495238,1.00010952
121.0699582,0.999796841
121.0903926,0.999989935
121.110827,1.000168673
121.1312614,0.999803321
121.1516957,1.000083612
121.1721302,0.999941298
121.1925646,0.999590732
121.2129989,0.999180046
121.2334334,0.999076479
121.2538678,0.999382607
121.2743021,0.999524694
121.2947364,0.999402021
121.3151709,0.999439056
121.3356053,0.999906654
121.3560396,1.000167859
121.3764741,1.000059248
121.4173428,0.999867452
121.4377772,0.999890873
121.4582117,0.999992703
121.478646,1.000054146
121.4990804,0.999877276
121.5195148,0.999672001
121.5399493,1.00000379
121.5603837,1.00024416
121.580818,1.000170911
121.6012525,0.999794682
121.6216869,0.999849527
121.6625555,1.000331831
121.68299,1.000115416
121.7034243,0.999506562
121.7238587,0.999602631
121.7442932,0.999750866
121.7647275,0.999703756
121.7851619,0.999179397
121.8055963,0.999225045
121.8260307,0.999831302
121.8464651,1.000197487
121.8668995,1.000171853
121.8873339,0.999731675
121.9077683,0.999501195
121.9282027,0.999643627
121.9486369,0.999766224
121.9690714,1.000114322
121.9895058,0.999734981
122.0099401,0.998928907
122.0303746,0.999045504
122.050809,0.99923172
122.0712434,0.999655832
122.0916777,0.999484213
122.1121122,0.999093288
122.1325466,0.998769503
122.1734154,0.999824802
122.1938498,0.999529821
122.214284,0.999180296
122.2347184,0.999400877
122.2551529,0.999511853
122.2755872,0.999885824
122.2960216,1.000125503
122.3164561,0.999700039
122.3368904,1.000016159
122.3573248,1.000391572
122.3981937,1.000139575
122.418628,0.999754402
122.4390623,0.99968367
122.4594968,0.999998448
122.4799311,1.000027501
122.5003655,1.000234122
122.5207998,1.000042322
122.5616687,1.000107761
122.5821031,0.999771034
122.6025375,0.999331625
122.6229719,0.999699178
122.6434063,0.999299951
122.6638405,0.99937362
122.684275,0.999404622
122.7047094,0.999407935
122.7251437,0.999089266
122.7455782,0.999022536
122.7660126,0.999231399
122.7864469,0.999210527
122.8068813,0.999149366
122.8273158,0.999153075
122.8477502,0.999421016
122.8886189,0.999610741
122.9090533,0.99946972
122.9294877,0.999421767
122.949922,0.99959528
122.9703565,0.999816514
122.9907909,0.999992811
123.0316597,0.999066685
123.0520941,0.9991593
123.0725284,0.999515523
123.0929627,0.999202588
123.1133972,0.998989949
123.1338316,0.998775446
123.1542659,0.998888801
123.1747004,0.999341275
123.1951348,0.999523627
123.2155691,0.999607948
123.2360034,0.999766845
123.2564379,0.999796311
123.2768722,1.000316016
123.3177411,1.000470075
123.3381754,1.00007778
123.3586098,0.999903025
123.3790442,0.999852945
123.3994787,0.999569209
123.4199129,0.999703816
123.4403473,0.999629865
123.4607818,0.999726554
123.4812161,0.999791323
123.5220848,0.999881085
123.5425193,0.999310892
123.5629537,0.999336188
123.583388,0.999510843
123.6038224,0.999675886
123.6242568,0.999938952
123.6446912,1.000046556
123.6651255,1.000144343
123.68556,1.000279933
123.7059944,1.000746373
123.7264286,1.00028575
123.7468631,0.999595297
123.7672975,0.999192929
123.7877318,0.999499256
123.8081662,0.999454379
123.8286007,0.999279554
123.849035,0.999524304
123.8694694,0.999740024
123.8899038,0.999645757
123.9103382,0.999362563
123.9307725,0.99898351
123.9512069,0.999179489
123.9716414,0.999343961
124.0125101,0.99932428
124.0329445,0.999458475
124.0533788,1.000149519
124.0738132,1.000793151
124.0942476,1.000878279
124.114682,1.000808056
124.1351164,1.000439318
124.1555508,1.000555022
124.1759852,1.000850145
124.1964195,1.000263566
124.2168539,0.999894523
124.2372883,0.99989155
124.2577227,1.000090202
124.2781571,0.999980837
124.2985914,0.999687922
124.3190259,0.999720582
124.3394602,0.999885249
124.3598946,1.000008805
124.380329,1.000015744
124.4007634,0.999861754
124.4211978,1.000257377
124.4416321,1.000195004
124.4620666,1.00039685
124.4825009,1.000167248
124.5029353,0.999945703
124.5233696,1.000124101
124.5438041,0.999988182
124.5642384,0.999930555
124.5846727,0.999989437
124.6051072,0.999710246
124.6255416,0.999656642
124.645976,0.999867253
124.6664103,1.00027432
124.6868447,1.000640998
124.7072791,1.000316768
124.7277134,0.999622966
124.7481479,0.999743502
124.7890166,0.999815689
124.8094509,0.999989308
124.8298854,1.000395947
124.8503197,1.000405643
124.8707541,0.999965514
124.8911885,0.999707585
124.911623,0.999851345
124.9320572,0.999768175
124.9524916,0.999980513
124.9729261,0.999842493
124.9933604,0.999852692
125.0137948,0.999608697
125.034229,0.99957107
125.0546635,0.999682691
125.0955323,1.00014999
125.1159667,1.000034571
125.1364011,0.999423469
125.1568354,0.999698886
125.1772697,0.999617954
125.1977042,0.999770759
125.2181386,0.99991571
125.2590073,0.999851525
125.2794417,0.999961136
125.299876,1.000200678
125.3203104,1.000153488
125.3407449,1.000103504
125.3611791,0.999809035
125.3816135,0.999883815
125.402048,0.999647388
125.4429167,1.00009099
125.463351,1.000125579
125.4837855,0.999962063
125.5042198,0.999679765
125.5246542,0.999736245
125.5450887,0.999968619
125.5655229,0.999895467
125.5859573,1.000017317
125.6063917,0.999759172
125.6268261,0.999730214
125.6472606,0.999660865
125.6676948,0.999497935
125.6881293,0.999403269
125.7085637,0.999458361
125.728998,0.999411192
125.7494324,0.999731506
125.7698668,0.999930659
125.7903011,0.999855996
125.8107355,1.000116178
125.83117,1.00034671
125.8516043,1.000279363
125.8720386,1.000581772
125.892473,1.000994692
125.9129074,1.000921553
125.9333418,1.000723644
125.9537761,1.000299748
125.9742106,1.000328958
125.9946449,1.00069611
126.0150793,1.000212405
126.0355136,1.000240159
126.055948,1.000284537
126.0763824,1.000306808
126.0968167,1.000160102
126.1172512,0.999796804
